date,price,fast_ma,slow_ma,signal
2025-11-30,90841.45258193676,92648.5429592865,102433.31963903662,0
2025-12-01,90406.28448571144,91873.4035474112,102024.38299597407,0
2025-12-02,86281.49519776918,91039.43952504938,101446.22147065494,0
2025-12-03,91344.73275150164,90530.59073289768,100968.67046526168,0
2025-12-04,93619.43750817105,90225.03993852521,100577.9278266597,0
2025-12-05,92140.70419795792,90109.25546430543,100206.56851844297,0
2025-12-06,89307.09154512963,89799.19453161731,99831.17577693895,0
2025-12-07,89244.7620814118,89540.86616209641,99487.19877957026,0
2025-12-08,90162.90714007126,89447.1752438716,99147.33685484214,0
2025-12-09,90618.0535204608,89337.08995914421,98787.27522810278,0
2025-12-10,92723.21372069632,89405.08672583234,98429.56807265138,0
2025-12-11,92005.13714957412,89672.84495435192,98099.94876309954,0
2025-12-12,92494.17691640416,90044.96370369713,97797.4637679968,0
2025-12-13,90307.26028567804,90326.19550340716,97402.63860825203,0
2025-12-14,90257.4292885891,90499.87458441683,96987.83110659789,0
2025-12-15,88230.77409367911,90499.94541874088,96520.04040100877,0
2025-12-16,86413.9190195637,90455.12478974386,95958.79853589831,0
2025-12-17,87821.88919109134,90322.50791031358,95431.5804311588,0
2025-12-18,86064.94716216,90061.80223983337,94893.87240175011,0
2025-12-19,85450.3312009302,89786.79995192439,94401.94564060126,0
2025-12-20,88103.86075721023,89649.92036068806,93999.20755000031,0
2025-12-21,88347.94310567998,89547.00329168649,93574.68830098808,0
2025-12-22,88577.42038358838,89661.79955097745,93145.95399730465,0
2025-12-23,88491.12020788102,89519.1189237964,92702.77221581594,0
2025-12-24,87406.43636737975,89208.46886675684,92320.47920839842,0
2025-12-25,87642.60888119951,88983.56410091891,92040.62590556793,0
2025-12-26,87229.78066010943,88879.69855666792,91707.66232557908,0
2025-12-27,87305.95655961394,88782.75828057801,91427.32865087966,0
2025-12-28,87807.003210775,88664.9630841132,91115.54703077665,0
2025-12-29,87822.90829076794,88525.20582262857,90826.20245366097,0
2025-12-30,87156.56266080117,88246.8732696338,90475.14013454576,0
2025-12-31,88414.62856073362,88067.34784019178,90125.25125129608,0
2026-01-01,87520.18048742875,87818.64801874301,89816.43934814453,0
2026-01-02,88727.67004249741,87739.66850658398,89560.55857710376,0
2026-01-03,89926.27924953419,87723.11100463124,89364.47509418202,0
2026-01-04,90593.85443180415,87841.26502153749,89287.22430917104,0
2026-01-05,91373.21588108438,88089.22986461352,89204.52242281489,0
2026-01-06,93926.7956485658,88394.47518748725,89194.83174634964,0
2026-01-07,93666.86387314304,88774.5710230364,89227.43451372115,0
2026-01-08,91257.15544035909,89064.91223500784,89196.18243822815,0
2026-01-09,90983.51578142623,89208.89498621863,89188.58718611799,1
2026-01-10,90504.8956034002,89316.74261110465,89265.68564660236,1
2026-01-11,90442.01907847,89409.97254584872,89373.48998958177,1
2026-01-12,90819.36598904192,89526.38483490678,89496.22482353303,1
2026-01-13,91134.96917951509,89712.81147551355,89583.2472537554,1
2026-01-14,95260.4422971001,90093.70314630857,89723.86895155348,1
2026-01-15,97007.78078881276,90582.60315274374,89917.81793533963,1
2026-01-16,95584.82797878512,90996.54672370231,90020.0299593214,1
2026-01-17,95516.07771987125,91382.00044915712,90104.77030228353,1
2026-01-18,95099.53192554633,91745.83163089602,90187.75340161227,1
2026-01-19,93752.70577188236,92075.6387864501,90245.97846541117,1
2026-01-20,92558.46334372148,92282.83052559948,90289.02204257138,1
2026-01-21,88312.84053255555,92322.46352785581,90329.6489492671,1
2026-01-22,89354.34377512129,92353.79721448701,90289.84116973949,1
2026-01-23,89443.39744146909,92329.65312408375,90206.32036840548,1
2026-01-24,89412.39849953113,92270.58032747012,90151.75425443694,1
2026-01-25,89170.87364531498,92160.46321568164,90149.02989644064,1
2026-01-26,86548.32213469829,91791.53953998825,90095.10109750635,1
2026-01-27,88307.8612070438,91523.5894066833,90058.0001788458,1
2026-01-28,89204.22239644526,91420.94275448761,90029.7235563655,1
2026-01-29,89162.09701574955,91329.87181620378,89958.50122226657,1
2026-01-30,84570.40906135936,91033.14748910174,89809.80666050228,1
2026-01-31,84141.77856967277,90718.13546366188,89642.75869356762,1
2026-02-01,78725.85853884545,90113.46009115204,89411.130658631,1
2026-02-02,76937.06406636834,89403.5648354947,89144.72335418659,1
2026-02-03,78767.65815345927,88578.92562831266,88955.46103538218,0
2026-02-04,75638.95670207398,87510.48442397572,88739.96178903239,0
2026-02-05,73172.29203248928,86389.85762666093,88446.96984586034,0
2026-02-06,62853.69038445987,84756.73825989038,87982.74471030635,0
2026-02-07,70523.95417035831,83527.95937213098,87684.2171696949,0
2026-02-08,69296.80677355142,82305.16442221441,87308.07609002173,0
